Accession;Gene Symbol;Description;Contaminant;Marked as;# Peptides;# PSMs;# Unique Peptides;# Protein Groups;Biological Process;Cellular Component;Molecular Function;Entrez Gene ID;Ensembl Gene ID;KEGG Pathways;WikiPathways;# Razor Peptides;Abundance Ratio: (LIF) / (Control);Abundance Ratio P-Value: (LIF) / (Control);Abundance Ratio Adj. P-Value: (LIF) / (Control);Abundances (Grouped): Control;Abundances (Grouped): LIF;Abundances (Grouped) CV [%]: Control;Abundances (Grouped) CV [%]: LIF;Modifications
P35235;Ptpn11;Tyrosine-protein phosphatase non-receptor type 11 OS=Mus musculus OX=10090 GN=Ptpn11 PE=1 SV=2;FALSE;Mouse;20;41;20;1;"cell differentiation;cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;cytosol;membrane;mitochondrion;nucleus";"catalytic activity;protein binding";19247;ENSMUSG00000043733.14;"Leukocyte transendothelial migration; Herpes simplex infection; Phospholipase D signaling pathway; Ras signaling pathway; Jak-STAT signaling pathway; Insulin resistance; Axon guidance; Proteoglycans in cancer; Neurotrophin signaling pathway; Adipocytokine signaling pathway; Renal cell carcinoma; Natural killer cell mediated cytotoxicity; Chronic myeloid leukemia";"PluriNetWork; EGFR1 Signaling Pathway; Kit Receptor Signaling Pathway; IL-3 Signaling Pathway; TNF-alpha NF-kB Signaling Pathway; IL-5 Signaling Pathway; IL-1 Signaling Pathway; Heart Development; Type II interferon signaling (IFNG); IL-2 Signaling Pathway; IL-6 signaling Pathway; ESC Pluripotency Pathways; Signaling of Hepatocyte Growth Factor Receptor; Insulin Signaling; IL-9 Signaling Pathway";0;1.005;0.656203071;0.926981189;99.7;100.3;7.12;0.69;Phospho [Y546(99.7)]
Q80SW1;Ahcyl1;S-adenosylhomocysteine hydrolase-like protein 1 OS=Mus musculus OX=10090 GN=Ahcyl1 PE=1 SV=1;FALSE;Mouse;9;28;8;1;"metabolic process;regulation of biological process;response to stimulus;transport";"cytoplasm;cytosol;endoplasmic reticulum;membrane";"catalytic activity;nucleotide binding;protein binding;RNA binding";229709;ENSMUSG00000027893.14;"Metabolic pathways; Cysteine and methionine metabolism";One carbon metabolism and related pathways;0;0.949;0.613211333;0.916556984;102.6;97.4;0.65;7.89;Phospho [Y263(100)]
P11440;Cdk1;Cyclin-dependent kinase 1 OS=Mus musculus OX=10090 GN=Cdk1 PE=1 SV=3;FALSE;Mouse;13;76;11;1;"cell death;cell differentiation;cell division;cell organization and biogenesis;cell proliferation;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;cytoskeleton;cytosol;membrane;mitochondrion;nucleus;organelle lumen";"catalytic activity;nucleotide binding;protein binding";12534;ENSMUSG00000019942.13;"Herpes simplex infection; p53 signaling pathway; Progesterone-mediated oocyte maturation; Epstein-Barr virus infection; Oocyte meiosis; Cell cycle; Gap junction; Viral carcinogenesis";"G1 to S cell cycle control; Spinal Cord Injury; Wnt Signaling Pathway NetPath; Hedgehog Signaling Pathway; miRNA regulation of DNA Damage Response";3;0.93;0.243642754;0.858136371;103.6;96.4;13.14;2.26;Phospho [Y15(99)]
P97377;Cdk2;Cyclin-dependent kinase 2 OS=Mus musculus OX=10090 GN=Cdk2 PE=1 SV=2;FALSE;Mouse;6;32;4;1;"cell division;cell organization and biogenesis;development;metabolic process;regulation of biological process;response to stimulus;transport";"chromosome;cytoplasm;cytoskeleton;cytosol;endosome;nucleus";"catalytic activity;metal ion binding;nucleotide binding;protein binding";12566;ENSMUSG00000025358.16;"FoxO signaling pathway; Herpes simplex infection; p53 signaling pathway; Progesterone-mediated oocyte maturation; Epstein-Barr virus infection; Small cell lung cancer; Hepatitis B; Oocyte meiosis; Cell cycle; Pathways in cancer; PI3K-Akt signaling pathway; Viral carcinogenesis; Measles; Prostate cancer";"PluriNetWork; G1 to S cell cycle control; Delta-Notch Signaling Pathway; miRNA regulation of DNA Damage Response; Id Signaling Pathway; IL-7 Signaling Pathway; DNA Replication; Spinal Cord Injury";0;0.944;0.470693406;0.890106194;102.9;97.1;16.11;1;Phospho [Y15(99)]
Q80X50;Ubap2l;Ubiquitin-associated protein 2-like OS=Mus musculus OX=10090 GN=Ubap2l PE=1 SV=1;FALSE;Mouse;24;183;24;1;regulation of biological process;"cytoplasm;nucleus";"protein binding;RNA binding";74383;ENSMUSG00000042520.16;;;0;1.124;0.031945693;0.858136371;94.2;105.8;6.62;3.42;Phospho [T864(83.5)]
Q8K4L3;Svil;Supervillin OS=Mus musculus OX=10090 GN=Svil PE=1 SV=1;FALSE;Mouse;23;40;23;1;"cell organization and biogenesis;regulation of biological process";"cytoplasm;cytoskeleton;cytosol;membrane;nucleus";protein binding;225115;ENSMUSG00000024236.18;;;0;1.057;0.599507285;0.912497087;97.2;102.8;7.45;9.24;Phospho [T811(99.9)]
B2RR83;Ythdc2;3'-5' RNA helicase YTHDC2 OS=Mus musculus OX=10090 GN=Ythdc2 PE=1 SV=1;FALSE;Mouse;3;5;3;1;"metabolic process;regulation of biological process;response to stimulus";"cytoplasm;endoplasmic reticulum";"catalytic activity;nucleotide binding;protein binding;RNA binding";240255;ENSMUSG00000034653.11;;;0;1.078;0.677814184;0.930878699;96.3;103.7;20.73;3.95;Phospho [T804(86.6)]
Q8CHR6;Dpyd;Dihydropyrimidine dehydrogenase [NADP(+)] OS=Mus musculus OX=10090 GN=Dpyd PE=1 SV=1;FALSE;Mouse;1;1;1;1;"metabolic process;response to stimulus";"cytoplasm;cytosol";"catalytic activity;metal ion binding;nucleotide binding;protein binding";99586;ENSMUSG00000033308.16;"Metabolic pathways; beta-Alanine metabolism; Pyrimidine metabolism; Drug metabolism - other enzymes; Pantothenate and CoA biosynthesis";TYROBP Causal Network;0;1.298;0.160868364;0.858136371;87;113;27.84;11.91;Phospho [T749(100)]
Q8BVF4;Ccdc30;Coiled-coil domain-containing protein 30 OS=Mus musculus OX=10090 GN=Ccdc30 PE=1 SV=1;FALSE;Mouse;1;4;1;1;;;;73332;ENSMUSG00000028637.15;;;0;1.077;0.553048562;0.900938381;96.3;103.7;4.15;14.86;Phospho [T638(98.8)]
Q8BXA1;Golim4;Golgi integral membrane protein 4 OS=Mus musculus OX=10090 GN=Golim4 PE=1 SV=1;FALSE;Mouse;12;25;12;1;transport;"endosome;Golgi;membrane";;73124;ENSMUSG00000034109.15;;;0;0.882;0.519278736;0.89784396;106.3;93.7;13.37;6.26;Phospho [T603(100)]
